Date,Actual,Forecast
5306,200.0,1966.3984553654786
5307,800.0,1966.3984553654786
5308,540.0,1966.3984553654786
5309,1500.0,1966.3984553654786
5310,1000.0,1966.3984553654786
5311,1620.0,1966.3984553654786
5312,918.0,1966.3984553654786
5313,1620.0,1966.3984553654786
5314,1296.0,1966.3984553654786
5315,864.0,1966.3984553654786
5316,4104.0,1966.3984553654786
5317,3500.0,1966.3984553654786
5318,3200.0,1966.3984553654786
5319,3000.0,1966.3984553654786
5320,3000.0,1966.3984553654786
5321,1080.0,1966.3984553654786
5322,3800.0,1966.3984553654786
5323,3000.0,1966.3984553654786
5324,50.0,1966.3984553654786
5325,216.0,1966.3984553654786
5326,800.0,1966.3984553654786
5327,810.0,1966.3984553654786
5328,1600.0,1966.3984553654786
5329,315.0,1966.3984553654786
5330,540.0,1966.3984553654786
5331,86.4,1966.3984553654786
5332,1500.0,1966.3984553654786
5333,270.0,1966.3984553654786
5334,1500.0,1966.3984553654786
5335,1080.0,1966.3984553654786
5336,2160.0,1966.3984553654786
5337,1404.0,1966.3984553654786
5338,864.0,1966.3984553654786
5339,864.0,1966.3984553654786
5340,3000.0,1966.3984553654786
5341,432.0,1966.3984553654786
5342,210.0,1966.3984553654786
5343,1620.0,1966.3984553654786
5344,864.0,1966.3984553654786
5345,864.0,1966.3984553654786
5346,2000.0,1966.3984553654786
5347,3024.0,1966.3984553654786
5348,1500.0,1966.3984553654786
5349,2000.0,1966.3984553654786
5350,3600.0,1966.3984553654786
5351,3780.0,1966.3984553654786
5352,6000.0,1966.3984553654786
5353,1080.0,1966.3984553654786
5354,2160.0,1966.3984553654786
5355,2160.0,1966.3984553654786
5356,216.0,1966.3984553654786
5357,216.0,1966.3984553654786
5358,1800.0,1966.3984553654786
5359,2100.0,1966.3984553654786
5360,1500.0,1966.3984553654786
5361,1500.0,1966.3984553654786
5362,2800.0,1966.3984553654786
5363,540.0,1966.3984553654786
5364,3800.0,1966.3984553654786
5365,270.0,1966.3984553654786
5366,2160.0,1966.3984553654786
5367,648.0,1966.3984553654786
5368,2500.0,1966.3984553654786
5369,2500.0,1966.3984553654786
5370,1620.0,1966.3984553654786
5371,1404.0,1966.3984553654786
5372,51840.0,1966.3984553654786
5373,280.8,1966.3984553654786
5374,2700.0,1966.3984553654786
5375,2700.0,1966.3984553654786
5376,2700.0,1966.3984553654786
5377,864.0,1966.3984553654786
5378,2500.0,1966.3984553654786
5379,2500.0,1966.3984553654786
5380,18792.0,1966.3984553654786
5381,810.0,1966.3984553654786
5382,1080.0,1966.3984553654786
5383,1200.0,1966.3984553654786
5384,800.0,1966.3984553654786
5385,2700.0,1966.3984553654786
5386,2160.0,1966.3984553654786
5387,648.0,1966.3984553654786
5388,800.0,1966.3984553654786
5389,702.0,1966.3984553654786
5390,1620.0,1966.3984553654786
5391,108.0,1966.3984553654786
5392,54.0,1966.3984553654786
5393,918.0,1966.3984553654786
5394,810.0,1966.3984553654786
5395,1080.0,1966.3984553654786
5396,972.0,1966.3984553654786
5397,864.0,1966.3984553654786
5398,3780.0,1966.3984553654786
5399,5200.0,1966.3984553654786
5400,5500.0,1966.3984553654786
5401,918.0,1966.3984553654786
5402,2700.0,1966.3984553654786
5403,918.0,1966.3984553654786
5404,918.0,1966.3984553654786
5405,1500.0,1966.3984553654786
5406,216.0,1966.3984553654786
5407,1080.0,1966.3984553654786
5408,1296.0,1966.3984553654786
5409,810.0,1966.3984553654786
5410,50.0,1966.3984553654786
5411,2700.0,1966.3984553654786
5412,3024.0,1966.3984553654786
5413,850.0,1966.3984553654786
5414,2160.0,1966.3984553654786
5415,5500.0,1966.3984553654786
5416,810.0,1966.3984553654786
5417,4320.0,1966.3984553654786
5418,810.0,1966.3984553654786
5419,2700.0,1966.3984553654786
5420,2700.0,1966.3984553654786
5421,1500.0,1966.3984553654786
5422,864.0,1966.3984553654786
5423,5940.0,1966.3984553654786
5424,270.0,1966.3984553654786
5425,1800.0,1966.3984553654786
5426,1500.0,1966.3984553654786
5427,810.0,1966.3984553654786
5428,756.0,1966.3984553654786
5429,216.0,1966.3984553654786
5430,1000.0,1966.3984553654786
5431,3000.0,1966.3984553654786
5432,500.0,1966.3984553654786
5433,864.0,1966.3984553654786
5434,50.0,1966.3984553654786
5435,2700.0,1966.3984553654786
5436,5400.0,1966.3984553654786
5437,13500.0,1966.3984553654786
5438,4320.0,1966.3984553654786
5439,16200.0,1966.3984553654786
5440,1500.0,1966.3984553654786
5441,1080.0,1966.3984553654786
5442,1404.0,1966.3984553654786
5443,50.0,1966.3984553654786
5444,4860.0,1966.3984553654786
5445,4860.0,1966.3984553654786
5446,5832.0,1966.3984553654786
5447,1100.0,1966.3984553654786
5448,847.8,1966.3984553654786
5449,550.0,1966.3984553654786
5450,2700.0,1966.3984553654786
5451,500.0,1966.3984553654786
5452,86.4,1966.3984553654786
5453,1000.0,1966.3984553654786
5454,194.4,1966.3984553654786
5455,162.0,1966.3984553654786
5456,648.0,1966.3984553654786
5457,50.0,1966.3984553654786
5458,1500.0,1966.3984553654786
5459,4860.0,1966.3984553654786
5460,2700.0,1966.3984553654786
5461,2500.0,1966.3984553654786
5462,2600.0,1966.3984553654786
5463,1080.0,1966.3984553654786
5464,2268.0,1966.3984553654786
5465,1620.0,1966.3984553654786
5466,4104.0,1966.3984553654786
5467,1080.0,1966.3984553654786
5468,2000.0,1966.3984553654786
